"Date","전체"
"2025-01-10",182.5
"2025-01-17",182.6
"2025-01-24",174.1
"2025-01-31",157.3
"2025-02-07",169.9
"2025-02-14",184.7
"2025-02-21",180.5
"2025-02-28",182.6
"2025-03-07",181.8
"2025-03-14",168.8
"2025-03-21",170.5
"2025-03-28",168.9
"2025-04-04",175.2
"2025-04-11",167.1
"2025-04-18",174.9
"2025-04-25",171.1
"2025-05-02",180.6
"2025-05-09",171.3
"2025-05-16",167.7
"2025-05-23",170.5
"2025-05-30",166.2
"2025-06-06",191.5
"2025-06-13",170.6
"2025-06-20",180
"2025-06-27",168.7
"2025-07-04",179.4
"2025-07-11",181.9
"2025-07-18",176.3
"2025-07-25",170.4
"2025-08-01",174.5
"2025-08-08",168.6
"2025-08-15",176.1
"2025-08-22",157.3
"2025-08-29",163.1
"2025-09-05",164.2
"2025-09-12",160.4
"2025-09-19",160.4
"2025-09-26",149.6
"2025-10-03",132.3
"2025-10-10",109.9
"2025-10-17",125
"2025-10-24",127.3
"2025-10-31",128.7
