기준_년분기_코드,자치구,지출_총금액,식료품_지출_총금액,교통_지출_총금액
20191,노원구,8051997088.0,2199277800.0,1237753458.0
20191,노원구,5928037032.0,1643284832.0,877953351.0
20191,노원구,12735423268.0,3227954749.0,2148919181.0
20191,은평구,15324123622.0,3763983625.0,2670279873.0
20191,은평구,17152514554.0,4166587890.0,3026447488.0
20191,은평구,12886683112.0,3255043180.0,2179818228.0
20191,은평구,11084421365.0,2689110840.0,1939499382.0
20191,은평구,18333648351.0,4488619950.0,3225522496.0
20191,은평구,20398868508.0,4983370081.0,3606943343.0
20191,은평구,12720464450.0,3143708780.0,2214418734.0
20191,은평구,16314558962.0,3990885161.0,2850050568.0
20191,은평구,8476213744.0,2186119141.0,1424232944.0
20191,은평구,11193259395.0,2875216729.0,1886443007.0
20191,은평구,20791545163.0,5150276425.0,3612820475.0
20191,은평구,10643619567.0,2689130235.0,1824879747.0
20191,은평구,7753246209.0,2035457622.0,1273961976.0
20191,은평구,4974773768.0,1247618752.0,850995537.0
20191,은평구,5286578810.0,1402266744.0,864312624.0
20191,은평구,7004582564.0,1795535200.0,1185418891.0
20191,은평구,8363685212.0,2174123522.0,1406598116.0
20191,은평구,10619498168.0,2653378653.0,1810643009.0
20191,은평구,9262773656.0,2366818922.0,1572991887.0
20191,은평구,20069961629.0,5118110424.0,3416500129.0
20191,은평구,12365354230.0,3136951583.0,2104725291.0
20191,은평구,7833823466.0,2082193916.0,1285061298.0
20191,은평구,9913830143.0,2396215417.0,1715591643.0
20191,은평구,14261978425.0,3723280430.0,2367433968.0
20191,은평구,21075758188.0,5133461858.0,3695867843.0
20191,은평구,9261184180.0,2339120255.0,1584016081.0
20191,은평구,14540276731.0,3596411074.0,2529829352.0
20191,은평구,10886621739.0,2723777384.0,1861808293.0
20191,은평구,12364682612.0,3091837727.0,2129588852.0
20191,은평구,6869548372.0,1742980056.0,1162404440.0
20191,은평구,11890706299.0,3057293962.0,1986259880.0
20191,은평구,5683748611.0,1453312403.0,960508349.0
20191,은평구,1002491541.0,260840642.0,170479345.0
20191,은평구,5049608195.0,1303968265.0,844349514.0
20191,은평구,10530538879.0,2652094616.0,1848983314.0
20191,은평구,7005082550.0,1833421970.0,1197446236.0
20191,은평구,9343261368.0,2283071701.0,1636394261.0
20191,은평구,8232528261.0,2083066283.0,1379170266.0
20191,은평구,10375333478.0,2532663521.0,1841052482.0
20191,은평구,8270825989.0,2157394662.0,1379593627.0
20191,은평구,15884004977.0,4077159668.0,2735227653.0
20191,은평구,6464649519.0,1666909734.0,1095692434.0
20191,은평구,5081165643.0,1338855862.0,844885216.0
20191,은평구,15179259203.0,3903769764.0,2541688821.0
20191,은평구,7691991823.0,1976972648.0,1304667784.0
20191,은평구,9784847122.0,2538582238.0,1639032319.0
20191,은평구,9309173357.0,2283065470.0,1613904899.0
20191,은평구,10717284411.0,2606282488.0,1890496979.0
20191,서대문구,7782982799.0,2013125624.0,1285046726.0
20191,서대문구,9210849150.0,2407463145.0,1538547743.0
20191,서대문구,4271251531.0,1093490328.0,707404275.0
20191,서대문구,8238538169.0,2060109459.0,1401820404.0
20191,서대문구,3577417412.0,943948329.0,579475515.0
20191,서대문구,9609512259.0,2494659671.0,1610368538.0
20191,서대문구,11207960712.0,2887948970.0,1870588352.0
20191,서대문구,8895535213.0,2181805637.0,1544061312.0
